,Date,Open,High,Low,Close,Volume,OpenInt,Name
82361,20190102,1.53,1.6,1.45,1.55,207893,0,wse
82362,20190103,1.57,1.67,1.51,1.64,536370,0,wse
82363,20190104,1.65,1.68,1.59,1.6,273978,0,wse
82364,20190107,1.63,1.84,1.6,1.84,795996,0,wse
82365,20190108,1.86,1.95,1.83,1.9,1477448,0,wse
82366,20190109,1.91,2.19,1.83,2.18,2823470,0,wse
82367,20190110,2.15,2.73,2.13,2.35,4474182,0,wse
82368,20190111,2.34,2.48,2.18,2.38,2336076,0,wse
82369,20190114,2.38,2.39,2.04,2.05,1087835,0,wse
82370,20190115,2.0,2.28,1.97,2.2,2672613,0,wse
82371,20190116,2.25,2.29,2.12,2.14,1366341,0,wse
82372,20190117,2.12,2.18,2.01,2.04,924187,0,wse
82373,20190118,2.01,2.08,1.95,1.98,826813,0,wse
82374,20190121,1.98,2.03,1.84,1.9,1300186,0,wse
82375,20190122,1.9,1.91,1.78,1.9,1533533,0,wse
82376,20190123,1.91,1.95,1.83,1.85,777711,0,wse
82377,20190124,1.85,1.92,1.83,1.87,394493,0,wse
82378,20190125,1.89,2.14,1.78,2.1,1931692,0,wse
82379,20190128,1.97,2.16,1.91,1.91,974556,0,wse
82380,20190129,1.9,1.98,1.85,1.94,512216,0,wse
82381,20190130,1.95,2.2,1.91,2.05,1190063,0,wse
82382,20190131,2.09,2.23,2.04,2.2,875322,0,wse
82383,20190201,2.21,2.32,2.16,2.27,1118043,0,wse
82384,20190204,2.31,2.42,2.25,2.4,1034744,0,wse
82385,20190205,2.42,2.57,2.37,2.53,748575,0,wse
82386,20190206,2.5,2.57,2.3,2.3,879537,0,wse
82387,20190207,2.3,2.36,2.16,2.18,783255,0,wse
82388,20190208,2.19,2.29,2.14,2.26,411733,0,wse
82389,20190211,2.27,2.29,2.08,2.15,689620,0,wse
82390,20190212,2.17,2.18,2.07,2.16,338303,0,wse
82391,20190213,2.19,2.31,2.13,2.28,515676,0,wse
82392,20190214,2.32,2.35,2.24,2.29,392395,0,wse
82393,20190215,2.28,2.31,2.19,2.29,389481,0,wse
82394,20190218,2.29,2.34,2.21,2.23,203511,0,wse
82395,20190219,2.22,2.24,2.14,2.15,277677,0,wse
82396,20190220,2.15,2.18,1.95,2.01,742731,0,wse
82397,20190221,1.97,2.1,1.87,1.87,825608,0,wse
82398,20190222,1.88,1.96,1.85,1.9,613690,0,wse
82399,20190225,1.9,2.02,1.88,1.99,373339,0,wse
